epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,117.238,0.97779,0.55294,1.03246,0.98874,1,0.995,0.66468,1.41101,0.67118,1.42104,0.000614,0.000614,0.000614
44,119.574,0.96783,0.55544,1.01818,0.97162,1,0.995,0.63683,1.36462,0.61608,1.44997,0.000581,0.000581,0.000581
45,121.527,0.91075,0.54023,0.97561,0.92143,1,0.995,0.64635,1.37838,0.63355,1.44633,0.000548,0.000548,0.000548
46,123.425,0.8621,0.51516,0.96,0.84431,1,0.95,0.60606,1.35509,0.6776,1.43335,0.000515,0.000515,0.000515
47,125.336,1.00006,0.55015,1.00873,0.83757,1,0.9157,0.58841,1.3371,0.65765,1.43046,0.000482,0.000482,0.000482
48,127.308,0.90516,0.49985,1.01211,0.86671,1,0.9425,0.58046,1.35924,0.62605,1.45914,0.000449,0.000449,0.000449
49,129.652,0.83655,0.49222,0.98013,0.89027,1,0.98,0.61354,1.31407,0.61774,1.43236,0.000416,0.000416,0.000416
50,132.069,0.87536,0.47343,0.95589,0.91464,1,0.995,0.63799,1.29306,0.60608,1.40763,0.000383,0.000383,0.000383
51,136.996,0.83574,0.54094,0.96257,0.91632,1,0.995,0.64403,1.28569,0.61632,1.38405,0.00035,0.00035,0.00035
52,140.013,0.84255,0.47828,0.9467,0.90438,1,0.9875,0.61055,1.28747,0.6143,1.33931,0.000317,0.000317,0.000317
53,143.105,0.80027,0.46384,0.92778,0.90468,1,0.9725,0.59892,1.31522,0.60828,1.34745,0.000284,0.000284,0.000284
54,145.482,0.79909,0.44025,0.9414,0.91018,1,0.98,0.60734,1.31057,0.60808,1.35211,0.000251,0.000251,0.000251
55,147.478,0.7867,0.44957,0.92704,0.91056,1,0.9875,0.63424,1.31512,0.58579,1.37363,0.000218,0.000218,0.000218
56,149.512,0.70361,0.4239,0.90467,0.90672,1,0.9875,0.63469,1.37208,0.57073,1.43945,0.000185,0.000185,0.000185
57,151.381,0.74125,0.42384,0.89093,0.90298,1,0.9875,0.63225,1.39032,0.57156,1.45405,0.000152,0.000152,0.000152
58,153.241,0.7577,0.42196,0.94031,0.9997,1,0.995,0.61788,1.39008,0.58216,1.45503,0.000119,0.000119,0.000119
59,155.666,0.72856,0.4196,0.93037,0.97212,1,0.995,0.62332,1.38153,0.59177,1.45351,8.6e-05,8.6e-05,8.6e-05
60,158.012,0.74797,0.41621,0.92814,0.97333,1,0.995,0.6087,1.36964,0.6095,1.43837,5.3e-05,5.3e-05,5.3e-05
